movie_name,ranking,director,score,score_num,tag,year,country,actor
肖申克的救赎,1,弗兰克·德拉邦特 Frank Darabont,9.6,1180373,犯罪 剧情,1994,美 国,蒂姆·罗宾斯 Tim Robbins /...
霸王别姬,2,陈凯歌 Kaige Chen,9.6,865782,剧情 爱情 同性,1993,中 国 大 陆   香 港, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
这个杀手不太冷,3,吕克·贝松 Luc Besson,9.4,1087860,剧情 动作 犯罪,1994,法 国, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
阿甘正传,4,Robert Zemeckis,9.4,930580,剧情 爱情,1994,美 国, Tom Hanks / Robin Wright Penn / Gary Sinise
美丽人生,5,罗伯托·贝尼尼 Roberto Benigni,9.5,543540,剧情 喜剧 爱情 战争,1997,意 大 利, 罗伯托·贝尼尼 Roberto Beni...
泰坦尼克号,6,詹姆斯·卡梅隆 James Cameron,9.3,866933,剧情 爱情 灾难,1997,美 国, 莱昂纳多·迪卡普里奥 Leonardo...
千与千寻,7,宫崎骏 Hayao Miyazaki,9.3,861140,剧情 动画 奇幻,2001,日 本, 柊瑠美 Rumi H?ragi / 入野自由 Miy...
辛德勒的名单,8,史蒂文·斯皮尔伯格 Steven Spielberg,9.5,489404,剧情 历史 战争,1993,美 国, 连姆·尼森 Liam Neeson...
盗梦空间,9,克里斯托弗·诺兰 Christopher Nolan,9.3,950691,剧情 科幻 悬疑 冒险,2010,美 国   英 国, 莱昂纳多·迪卡普里奥 Le...
机器人总动员,10,安德鲁·斯坦顿 Andrew Stanton,9.3,629607,爱情 科幻 动画 冒险,2008,美 国, 本·贝尔特 Ben Burtt / 艾丽...
忠犬八公的故事,11,莱塞·霍尔斯道姆 Lasse Hallstr?m,9.3,611924,剧情,2009,美 国   英 国, 理查·基尔 Richard Ger...
三傻大闹宝莱坞,12,拉库马·希拉尼 Rajkumar Hirani,9.2,850502,剧情 喜剧 爱情 歌舞,2009,印 度, 阿米尔·汗 Aamir Khan / 卡...
海上钢琴师,13,朱塞佩·托纳多雷 Giuseppe Tornatore,9.2,711685,剧情 音乐,1998,意 大 利, 蒂姆·罗斯 Tim Roth / ...
放牛班的春天,14,克里斯托夫·巴拉蒂 Christophe Barratier,9.2,583385,剧情 音乐,2004,法 国   瑞 士   德 国, 杰拉尔·朱诺 Géra...
大话西游之大圣娶亲,15,刘镇伟 Jeffrey Lau,9.2,642416,喜剧 爱情 奇幻 冒险,1995,香 港   中 国 大 陆, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
楚门的世界,16,彼得·威尔 Peter Weir,9.2,622250,剧情 科幻,1998,美 国, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
