movie_name,director,nation,ranking,relinfo,score,tag,year
The Shawshank Redemption,Frank Darabont,USA,1,"14 October 1994 (USA)
",9.2," Drama
",1994
The Godfather,Francis Ford Coppola,USA,2,"24 March 1972 (USA)
",9.2," Crime
, Drama
",1972
The Godfather: Part II,Francis Ford Coppola,USA,3,"20 December 1974 (USA)
",9," Crime
, Drama
",1974
The Dark Knight,Christopher Nolan,USA,4,"18 July 2008 (USA)
",9," Action
, Crime
, Drama
",2008
12 Angry Men,Sidney Lumet,USA,5,"April 1957 (USA)
",8.9," Crime
, Drama
",1957
Schindler's List,Steven Spielberg,USA,6,"4 February 1994 (USA)
",8.9," Biography
, Drama
, History
",1993
The Lord of the Rings: The Return of the King,Peter Jackson,New Zealand,7,"17 December 2003 (USA)
",8.9," Action
, Adventure
, Drama
",2003
Pulp Fiction,Quentin Tarantino,USA,8,"14 October 1994 (USA)
",8.9," Crime
, Drama
",1994
"The Good, the Bad and the Ugly",Sergio Leone,Italy,9,"29 December 1967 (USA)
",8.8," Western
",1966
Fight Club,David Fincher,USA,10,"15 October 1999 (USA)
",8.8," Drama
",1999
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,New Zealand,11,"19 December 2001 (USA)
",8.8," Adventure
, Drama
, Fantasy
",2001
Forrest Gump,Robert Zemeckis,USA,12,"6 July 1994 (USA)
",8.7," Drama
, Romance
",1994
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,USA,13,"20 June 1980 (USA)
",8.7," Action
, Adventure
, Fantasy
",1980
Inception,Christopher Nolan,USA,14,"16 July 2010 (USA)
",8.7," Action
, Adventure
, Sci-Fi
",2010
The Lord of the Rings: The Two Towers,Peter Jackson,New Zealand,15,"18 December 2002 (USA)
",8.7," Adventure
, Drama
, Fantasy
",2002
One Flew Over the Cuckoo's Nest,Milos Forman,USA,16,"19 November 1975 (USA)
",8.7," Drama
",1975
Goodfellas,Martin Scorsese,USA,17,"21 September 1990 (USA)
",8.7," Crime
, Drama
",1990
The Matrix,Lana Wachowski,USA,18,"31 March 1999 (USA)
",8.6," Action
, Sci-Fi
",1999
Seven Samurai,Akira Kurosawa,Japan,19,"19 November 1956 (USA)
",8.6," Adventure
, Drama
",1954
City of God,Fernando Meirelles,Brazil,20,"13 February 2004 (USA)
",8.6," Crime
, Drama
",2002
Se7en,David Fincher,USA,21,"22 September 1995 (USA)
",8.6," Crime
, Drama
, Mystery
",1995
Star Wars: Episode IV - A New Hope,George Lucas,USA,22,"25 May 1977 (USA)
",8.6," Action
, Adventure
, Fantasy
",1977
The Silence of the Lambs,Jonathan Demme,USA,23,"14 February 1991 (USA)
",8.6," Crime
, Drama
, Thriller
",1991
It's a Wonderful Life,Frank Capra,USA,24,"7 January 1947 (USA)
",8.6," Drama
, Family
, Fantasy
",1946
Life Is Beautiful,Roberto Benigni,Italy,25,"12 February 1999 (USA)
",8.6," Comedy
, Drama
, Romance
",1997
The Usual Suspects,Bryan Singer,USA,26,"15 September 1995 (USA)
",8.5," Crime
, Mystery
, Thriller
",1995
Spirited Away,Hayao Miyazaki,Japan,27,"28 March 2003 (USA)
",8.5," Animation
, Adventure
, Family
",2001
Saving Private Ryan,Steven Spielberg,USA,28,"24 July 1998 (USA)
",8.5," Drama
, War
",1998
L¨¦on: The Professional,Luc Besson,France,29,"18 November 1994 (USA)
",8.5," Crime
, Drama
, Thriller
",1994
The Green Mile,Frank Darabont,USA,30,"10 December 1999 (USA)
",8.5," Crime
, Drama
, Fantasy
",1999
Interstellar,Christopher Nolan,USA,31,"7 November 2014 (USA)
",8.5," Adventure
, Drama
, Sci-Fi
",2014
Psycho,Alfred Hitchcock,USA,32,"8 September 1960 (USA)
",8.5," Horror
, Mystery
, Thriller
",1960
American History X,Tony Kaye,USA,33,"20 November 1998 (USA)
",8.5," Crime
, Drama
",1998
City Lights,Charles Chaplin,USA,34,"7 March 1931 (USA)
",8.5," Comedy
, Drama
, Romance
",1931
Once Upon a Time in the West,Sergio Leone,Italy,35,"4 July 1969 (USA)
",8.5," Western
",1968
Casablanca,Michael Curtiz,USA,36,"23 January 1943 (USA)
",8.5," Drama
, Romance
, War
",1942
Modern Times,Charles Chaplin,USA,37,"25 February 1936 (USA)
",8.5," Comedy
, Drama
, Family
",1936
The Intouchables,Olivier Nakache,France,38,"2 November 2011 (France)
",8.5," Biography
, Comedy
, Drama
",2011
The Pianist,Roman Polanski,France,39,"28 March 2003 (USA)
",8.5," Biography
, Drama
, Music
",2002
The Departed,Martin Scorsese,USA,40,"6 October 2006 (USA)
",8.5," Crime
, Drama
, Thriller
",2006
Terminator 2: Judgment Day,James Cameron,USA,41,"3 July 1991 (USA)
",8.5," Action
, Sci-Fi
",1991
