name_en,name_cn
Frank Darabont,弗兰克·德拉邦特
Kaige Chen,陈凯歌
Robert Zemeckis,罗伯特·泽米吉斯
Luc Besson,吕克·贝松
Roberto Benigni,罗伯托·贝尼尼
James Cameron,詹姆斯·卡梅隆
Hayao Miyazaki,宫崎骏
Steven Spielberg,史蒂文·斯皮尔伯格
Christopher Nolan,克里斯托弗·诺兰
Lasse Hallström,莱塞·霍尔斯道姆
Giuseppe Tornatore,朱塞佩·托纳多雷
Andrew Stanton,安德鲁·斯坦顿
Rajkumar Hirani,拉库马·希拉尼
Peter Weir,彼得·威尔
Christophe Barratier,克里斯托夫·巴拉蒂
Jeffrey Lau,刘镇伟
Dong-hyuk Hwang,黄东赫
Francis Ford Coppola,弗朗西斯·福特·科波拉
Byron Howard,拜伦·霍华德
Gabriele Muccino,加布里尔·穆奇诺
Rob Reiner,罗伯·莱纳
Olivier Nakache,奥利维·那卡什
Yimou Zhang,张艺谋
Billy Wilder,比利·怀尔德
Victor Fleming,维克多·弗莱明
Ang Lee,李安
Nitesh Tiwari,涅提·蒂瓦里
Peter Jackson,彼得·杰克逊
Pete Docter,彼特·道格特
Wen Jiang,姜文
Sidney Lumet
Lee Unkrich,李·昂克里奇
Bernardo Bertolucci,贝纳尔多·贝托鲁奇
William Wyler,威廉·惠勒
David Fincher,大卫·芬奇
Martin Brest,马丁·布莱斯
Jun-ik Lee,李濬益
Woo-seok Yang,杨宇硕
Nadine Labaki,娜丁·拉巴基
Guy Ritchie
Miloš Forman,米洛斯·福尔曼
Roger Allers
James McTeigue,詹姆斯·麦克特格
Ron Howard,朗·霍华德
Laiming Wan,万籁鸣
Chris Columbus
Roman Polanski,罗曼·波兰斯基
Louie Psihoyos,路易·西霍尤斯
Andy Wachowski,安迪·沃卓斯基
Shunji Iwai,岩井俊二
Oriol Paulo,奥里奥尔·保罗
Muye Wen,文牧野
Majid Majidi,马基德·马基迪
Sergio Leone,赛尔乔·莱翁内
Robert Wise,罗伯特·怀斯
Quentin Tarantino,昆汀·塔伦蒂诺
Mark Herman,马克·赫尔曼
Tetsuya Nakashima,中岛哲也
Jonathan Demme,乔纳森·戴米
Eric Bress,埃里克·布雷斯
Kar Wai Wong,王家卫
Gus Van Sant,格斯·范·桑特
Martin Scorsese
Mel Gibson,梅尔·吉布森
Wes Anderson,韦斯·安德森
Tim Burton,蒂姆·波顿
Jean-Pierre Jeunet,让-皮埃尔·热内
Charles Chaplin,查理·卓别林
Gore Verbinski,戈尔·维宾斯基
James Mangold,
Yôjirô Takita,泷田洋二郎
Stephen Chow,周星驰
Thomas Vinterberg,托马斯·温特伯格
M. Night Shyamalan,M·奈特·沙马兰
Alain Gsponer,阿兰·葛斯彭纳
Joon-ho Bong,奉俊昊
Adam Elliot,亚当·艾略特
Junichi Mori,森淳一
Luca Guadagnino,卢卡·瓜达尼诺
Edward Yang,杨德昌
Richard Linklater,理查德·林克莱特
Satoshi Kon,今敏
Hyeong-Cheol Kang,姜炯哲
Yoshifumi Kondo,近藤喜文
Hwan-kyeong Lee,李焕庆
Peter Chan,陈可辛
Tony Kaye,托尼·凯耶
David Yates,大卫·叶茨
Siu-Tung Ching,程小东
Dean DeBlois,迪恩·德布洛斯
Takeshi Kitano,北野武
Byeong-woo Kim,金秉祐
Lik-Chi Lee,李力持
Takahiro Omori,大森贵弘
Don Hall,唐·霍尔
Hiromasa Yonebayashi,米林宏昌
Hirokazu Koreeda,是枝裕和
Pierre Coffin,皮艾尔·柯芬
Peter Farrelly,彼得·法雷里
James Wan,詹姆斯·温
Alex Law,罗启锐
Akira Kurosawa,黑泽明
Paul Greengrass,保罗·格林格拉斯
Richard Curtis,理查德·柯蒂斯
John Woo,吴宇森
Clint Eastwood,克林特·伊斯特伍德
Joe Wright,乔·怀特
Kirk De Micco,科克·德·米科
Isao Takahata,高畑勋
Damien Chazelle,达米恩·查泽雷
Yukun Xin,忻钰坤
Danny Boyle,丹尼·鲍尔
Darren Aronofsky,达伦·阿罗诺夫斯基
Martin McDonagh,马丁·麦克唐纳
Damián Szifron,达米安·斯兹弗隆
- Jean-Marc Vallée,让马克·瓦雷
Dingxian Yan,严定宪
Jessie Nelson,杰茜·尼尔森
Makoto Shinkai,新海诚
Barry Levinson,巴瑞·莱文森
Terry George,特瑞·乔治
Shuchen Wang,王树忱
Masaya Fujimori,藤森雅也
Kenneth Lonergan,肯尼斯·罗纳根
Rich Moore,瑞奇·莫尔
Nick Cassavetes,尼克·卡索维茨
Seijirô Kôyama,
Carlos Saldanha,卡洛斯·沙尔丹哈
Hannes Holm,汉内斯·赫尔姆
Morten Tyldum,莫滕·泰杜姆
Ke Guo,郭柯
Gérard Oury,杰拉尔·乌里
Stanley Donen,斯坦利·多南
Jacques Perrin,雅克·贝汉
Lenny Abrahamson,伦尼·阿伯拉罕森
Christopher Smith,克里斯托弗·史密斯
Edward Zwick,爱德华·兹威克
Alfred Hitchcock,阿尔弗雷德·希区柯克
Mamoru Hosoda,细田守
Mervyn LeRoy,茂文·勒鲁瓦
Sang-ho Yeon,延尚昊
Paolo Genovese,保罗·格诺维瑟
Hao Ning,宁浩
Stephen Chbosky,斯蒂芬·卓博斯基
Kenshi Fushihara,伏原健之
Chuan Lu,陆川
Tom Tykwer,汤姆·提克威
Hoon-jung Park,朴勋政
Stanley Kubrick,斯坦利·库布里克
Doug Liman,道格·里曼
Andrew Niccol,安德鲁·尼科尔
Aamir Khan,阿米尔·汗
Hark Tsui,徐克
Dennis Gansel,丹尼斯·甘塞尔
Stephen Daldry,史蒂芬·戴德利
Raymond Lee,李惠民
Duncan Jones,邓肯·琼斯
Alfonso Cuarón
Kabir Khan,卡比尔·汗
John Carney,约翰·卡尼
James Ward Byrkit,詹姆斯·沃德·布柯特
George Miller,乔治·米勒
Asghar Farhadi,阿斯哈·法哈蒂
Yasujirô Ozu,小津安二郎
Thomas McCarthy,托马斯·麦卡锡
Paul Haggis,保罗·哈吉斯
Ridley Scott,雷德利·斯科特
Shen Zhou,周申
Hsin-yao Huang,黄信尧
Chang-min Choo,秋昌民
Richard Schenkman,理查德·沙因克曼
